source,author,aspect,sentiment,confidence,quote
ios_appstore,Мария К.,performance,negative,0.95,иногда подвисает при переводе крупной суммы
ios_appstore,Мария К.,design,positive,0.95,"Дизайн современный, всё на своих местах"
ios_appstore,Анна В.,ads,negative,0.95,реклама кредиток после каждого платежа уже надоела
ios_appstore,Анна В.,price,negative,0.95,"Цены на обслуживание выше, чем обещали в рекламе"
ios_appstore,Елена Р.,support,negative,0.95,Писала в поддержку по поводу двойного списания — ответили через сутки
ios_appstore,Юлия Д.,ads,negative,0.95,баннеры про страховку мешают
ios_appstore,Юлия Д.,price,negative,0.95,Цена тарифа выросла без предупреждения
ios_appstore,Виктория З.,reliability,positive,0.9,Стабильно
ios_appstore,Виктория З.,design,positive,0.95,красиво
ios_appstore,Виктория З.,support,positive,0.95,поддержка отзывчивая
ios_appstore,Виктория З.,ads,positive,0.9,Рекламы почти нет
ios_appstore,Светлана Я.,support,negative,0.95,"Три дня не могла дозвониться в поддержку, в чате бот отвечал шаблонами"
ios_appstore,Ксения Л.,design,neutral,0.9,"После редизайна стало красивее, но часть кнопок переехала"
ios_appstore,Наталья И.,performance,positive,0.95,Всё летает
ios_appstore,Наталья И.,design,positive,0.95,дизайн на уровне
ios_appstore,Наталья И.,support,positive,0.95,Поддержка помогла восстановить доступ за 10 минут
ios_appstore,Полина А.,design,positive,0.9,Хороший UX
ios_appstore,Полина А.,price,negative,0.95,платный тариф подорожал с нового года
ios_appstore,Людмила Ф.,reliability,negative,0.95,Не приходит СМС для входа уже второй день
ios_appstore,Людмила Ф.,support,negative,0.95,Поддержка молчит
ios_appstore,Вера Н.,design,neutral,0.9,"Дизайн хороший, но тёмная тема работает криво на iOS 17 — текст сливается"
ios_appstore,Яна Г.,price,negative,0.95,"Комиссия за снятие наличных выше, чем у ВТБ"
ios_appstore,Зоя П.,design,positive,0.9,Красивое и удобное
ios_appstore,Зоя П.,performance,negative,0.95,Иногда подвисает при смене карты по умолчанию
android_play,Иван П.,performance,negative,0.9,После обновления стало тормозить на старом телефоне.
android_play,Дмитрий Л.,performance,negative,0.95,Третий раз вылетает при входе по Face ID.
android_play,Дмитрий Л.,reliability,negative,0.95,Надёжность на нуле.
android_play,Сергей Н.,performance,positive,0.8,"Быстрое, лёгкое"
android_play,Сергей Н.,design,positive,0.9,дизайн минималистичный
android_play,Сергей Н.,performance,negative,0.9,Иногда подвисает история операций.
android_play,Павел Г.,performance,positive,0.9,Всё стабильно
android_play,Павел Г.,design,positive,0.9,красиво
android_play,Павел Г.,ads,positive,0.9,без лишней рекламы
